CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V78391,CC1,0.0016,0.001,0.055,0.001,0.081,0.013,0.006,0.003
V78396,CC2,0.051,0.001,0.015,0.038,0.525,0.01,0.003,0.013
V78395,CC1,0.0018,0.001,0.062,0.001,0.093,0.014,0.007,0.004
V78399,CC3,0.05,0.001,0.001,0.001,0.212,0.016,0.012,0.007
V78400,CC3,0.032,0.001,0.001,0.001,0.167,0.016,0.009,0.005
V78414,CC1,0.0017,0.001,0.057,0.001,0.083,0.014,0.007,0.004
V78415,CC2,0.078,0.004,0.0,0.022,1.35,0.013,0.006,0.012
V78417,CC3,0.0364,0.001,0.001,0.001,0.174,0.012,0.007,0.01
V78429,CC2,0.11,0.07,0.013,0.0,1.397,0.023,0.003,0.232
V78438,CC3,0.048,0.001,0.0,0.0,0.21,0.009,0.004,0.008
V78454,CC2,0.14,0.001,0.0,0.0,0.75,0.023,0.004,0.012
V78467,CC3,0.049,0.001,0.001,0.001,0.4,0.011,0.006,0.007
V80391,CC3,0.089,0.001,0.0,0.0,0.179,0.008,0.004,0.007
V80395,CC3,0.051,0.001,0.0,0.0,0.233,0.021,0.003,0.015
V78468,CC2,0.049,0.001,0.022,0.008,0.739,0.019,0.004,0.063
V76897,CC1,0.0019,0.001,0.058,0.001,0.088,0.012,0.006,0.005
V76916,CC1,0.0019,0.001,0.05,0.001,0.08,0.012,0.007,0.005
V76962,CC1,0.002,0.001,0.037,0.014,0.084,0.018,0.007,0.004
V76963,CC3,0.046,0.001,0.001,0.001,0.217,0.01,0.005,0.006
V76960,CC2,0.098,0.001,0.001,0.001,0.448,0.018,0.003,0.011
V77034,CC1,0.0016,0.001,0.065,0.001,0.083,0.012,0.006,0.005
V77038,CC3,0.041,0.001,0.001,0.001,0.255,0.018,0.004,0.011
V78927,CC1,0.05,0.002,0.002,0.0,0.231,0.024,0.004,0.034
V78934,CC3,0.077,0.002,0.0,0.001,0.391,0.016,0.003,0.012
